Stop Word,BAD,NEUTRAL,GOOD,Margin
گرفته,155,170,277,13.778580024067391
یافته,15,13,48,31.050228310502288
خوبی,640,1812,2312,21.545454545454547
دو,489,713,1097,17.02711980775832
لذا,12,16,14,5.128205128205128
بار,262,391,916,27.872340425531917
روی,318,465,694,15.524762637926612
هستند,137,225,487,26.02040816326531
آنچه,43,59,156,30.434782608695656
البته,420,842,1025,16.19362976978871
بروز,6,17,27,21.7687074829932
آن,650,1012,1968,35.737859500235736
شده_است,0,0,0,0.0
داد,100,174,355,24.843304843304846
دارای,41,80,131,20.0
آمد,27,44,129,35.82375478927203
رشد,16,41,114,38.775510204081634
می‌گیرد,10,12,10,4.761904761904764
سوی,26,43,106,30.555555555555554
دور,117,219,337,18.349619978284473
خوب,1306,2867,3552,18.058915611213887
همواره,8,17,71,42.857142857142854
هر,776,1246,2473,26.550440388631618
ولی,1864,3570,3322,14.0791171628176
داده,286,384,545,12.522361359570661
همان,131,163,289,19.599723947550032
گیرد,10,16,40,30.0
حال,324,602,986,20.130869899923017
آنها,125,169,380,32.09366391184573
اند,113,140,257,20.232558139534884
نیمه,91,112,122,6.103286384976524
فردی,32,58,115,24.179620034542317
گفت,166,268,411,17.198581560283685
نحوه,34,66,98,17.11229946524064
مواجه,46,42,54,5.0125313283208
داشته,391,597,839,13.863773357444241
دارد,204,345,502,17.554012345679016
آخرین,39,65,109,19.19191919191919
بود,3252,6243,10423,24.413902869187424
گردد,6,10,23,29.411764705882355
اش,331,502,779,16.94717157550257
اکنون,19,20,67,31.666666666666664
یا,1230,1556,2117,13.414860107467113
زیر,134,161,244,13.374913374913378
گونه,82,85,142,13.541666666666666
آوری,25,24,42,13.25757575757576
برداری,18,17,37,19.11764705882353
تهیه,58,55,165,27.50316856780735
بخش,180,444,637,22.651586553565817
جاری,7,16,47,37.56613756613757
روند,50,146,95,17.253521126760564
به,8809,13159,21084,33.457556935817806
عدم,42,77,73,12.643678160919542
بعد,568,819,1361,18.80016899028306
روش,101,127,197,15.32779316712835
نسبت,176,354,452,16.814814814814813
روبه,11,13,31,23.03030303030303
جمعی,10,14,21,15.0
صرف,75,56,72,5.952380952380955
چهار,53,115,136,17.139479905437348
بیان,242,412,601,16.30952380952381
مربوط,60,108,179,19.73001038421599
ممکن,58,100,154,17.301038062283737
رفت,86,102,151,12.37785016286645
کند,206,329,443,15.209125475285171
تعداد,67,98,106,9.222661396574438
بیشتری,111,221,232,13.924050632911392
می‌کند,35,43,55,11.46953405017921
بخشی,60,89,156,18.671248568155782
باعث,224,428,599,16.79721496953873
کرد,348,597,1024,21.021536115875737
می‌توان,10,9,14,9.375
پس,303,342,576,16.187739463601535
جمع,90,113,160,11.304347826086957
کردند,68,72,161,22.222222222222225
شده_بود,0,0,0,0.0
بودند,87,126,211,18.931159420289852
گیری,60,111,108,13.360323886639677
مثل,521,753,1320,19.550593960211824
هنگام,18,45,93,27.516778523489933
می‌کنیم,3,6,20,38.27160493827161
ضمن,68,70,133,16.161616161616163
نیستند,23,37,40,10.333333333333336
بسیار,694,1146,4153,42.386102917076364
تو,1180,1526,3149,27.948957360722066
ریزی,10,39,61,29.962546816479396
بالا,107,146,200,11.395348837209303
می‌کردند,2,4,8,25.64102564102564
ویژه,28,36,117,32.75529865125241
ایشان,82,79,276,42.45385450597177
حل,62,75,137,20.029239766081876
یافته_است,0,0,0,0.0
اینکه,797,1314,1708,15.193105649537184
کنند,120,137,285,21.512027491408936
می‌گویند,2,4,4,13.333333333333336
می‌دهد,19,19,18,1.58730158730159
هم,3336,4693,7882,23.339669895295852
پر,330,434,909,22.88816503800217
شش,23,20,48,22.083333333333336
غیر,248,251,269,1.8207282913165268
آقای,204,313,616,24.049781365623947
نیست,910,919,1131,5.434236947791167
می‌یابد,1,3,1,26.666666666666668
می‌کنم,21,42,105,31.210191082802545
گاه,30,62,103,25.333333333333336
گرفت,55,69,143,20.930232558139537
یک,1909,2682,4155,20.473437930085325
براساس,13,19,28,14.285714285714285
بهترین,146,256,1313,45.95990907212234
یعنی,347,310,466,9.287402904424184
شوند,31,51,88,19.957537154989385
داشته_باشند,0,0,0,0.0
خواهد_بود,0,0,0,0.0
کافی,67,96,120,10.123456790123456
بوده_است,0,0,0,0.0
همچنان,37,61,81,13.65461847389558
خاص,99,176,220,14.442013129102845
شود,146,223,380,20.820021299254527
خطر,10,15,48,36.97916666666667
ما,665,935,2095,32.54177660510114
کنم,536,541,1177,20.573545996455614
بزرگ,135,216,523,29.93109388458226
بیشتر,752,1131,1245,10.358755048705158
بی,1067,812,2159,24.017725258493353
تبدیل,65,106,131,12.603062426383982
هنوز,180,247,527,23.22222222222222
درباره,203,331,574,21.187025534851625
مانند,57,103,172,21.296296296296294
سبب,13,15,30,19.393939393939398
نمی‌شود,5,9,6,11.666666666666666
تاکنون,11,3,16,25.0
ترتیب,17,28,37,13.419913419913417
شما,530,539,1291,28.36520434945632
خودش,423,678,907,14.197886647454371
یکی,473,695,1550,26.923076923076923
می‌شود,33,75,70,20.899470899470902
امکان,34,76,126,21.712538226299692
ساز,11,17,33,22.61904761904762
اگر,541,765,1296,19.681665136210587
قابل,293,550,626,14.303030303030303
چیز,295,356,511,11.77777777777778
رسیدن,46,97,178,24.482758620689655
نباید,111,147,180,8.620689655172415
تمام,304,467,1108,29.334145351197726
شد,492,693,1065,16.466283324621013
طور,121,187,252,12.652536929993577
حالی,69,75,91,5.9190031152647995
کرده_بود,0,0,0,0.0
بین,240,328,566,18.341463414634145
کردم,524,596,1299,22.925391655033348
چیزی,483,519,727,9.79627221499783
راه,176,232,521,26.31797426317974
زاده,30,62,175,33.59375
حدود,45,82,92,13.270142180094787
نیاز,80,178,285,21.138211382113823
بوده,304,333,598,17.398070339246807
ناشی,19,27,25,7.1794871794871815
ابتدا,57,109,100,12.666666666666668
اخیر,11,11,53,39.436619718309856
دهه,26,47,85,24.681933842239186
بر,602,739,1789,31.70351473922903
چند,515,666,1071,15.834569121766357
عالی,346,873,7201,56.193520886615524
ندارند,32,43,50,7.988980716253441
رو,5025,7404,12518,26.869138959931803
می‌آید,4,9,12,19.6969696969697
دیگران,78,148,259,23.119556611243077
اول,443,708,953,13.675666137286044
اولین,111,198,412,25.097465886939567
تمامی,29,30,117,36.0082304526749
سمت,44,70,103,15.48821548821549
کرده_اند,0,0,0,0.0
پنج,70,76,244,31.40495867768595
خیلی,2806,4194,9543,30.10061765291891
دیگری,103,142,232,16.55328798185941
چون,560,819,1117,13.007759014148789
وگو,0,0,1,66.66666666666667
کاملا,278,302,486,13.554633471645921
منظور,53,71,59,5.747126436781609
همه,897,1161,2930,30.501403931006816
وقتی,393,462,1008,23.742331288343557
شروع,252,414,608,15.682919874536639
دادن,204,244,381,13.470613470613474
لازم,77,138,147,12.657004830917876
کرده,654,901,1280,13.679052674561046
پیش,400,673,956,15.019692087361259
خواهد_شد,0,0,0,0.0
ع,10,6,47,48.148148148148145
جریان,57,68,90,9.212730318257954
باید,876,1143,2079,20.506183491515674
آنکه,42,37,78,17.11111111111111
نظیر,34,52,450,52.48226950354611
بلکه,113,148,276,19.556451612903224
برای,2302,3318,5208,19.9061968206533
باشد,176,212,377,18.91472868217054
اما,1254,2343,2280,15.135251180764275
پیدا,254,393,586,15.432098765432098
کوچک,23,52,111,27.84090909090909
زیرا,21,31,78,32.398753894081
علت,49,82,96,12.698412698412701
شان,31,47,93,23.225806451612904
حالا,239,262,487,17.38331495773613
کم,355,642,790,15.59732123568805
کنیم,130,190,411,26.73056443024494
جا,146,248,346,15.229450327786182
فقط,1027,1078,1548,10.105027021515243
جز,150,165,305,17.13124274099884
پی,116,160,258,16.59751037344398
کسی,549,598,1118,18.370445344129553
می‌رسد,9,8,13,11.11111111111111
محسوب,38,30,42,6.666666666666663
اثر,238,303,565,21.790603033666294
مدت,45,94,183,24.890350877192986
کمی,210,465,391,14.921286789869951
خویش,28,28,100,40.0
سه,221,373,509,15.43859649122807
دانست,1,5,18,45.45454545454545
آنجا,26,26,62,23.52941176470588
تغییر,130,201,338,19.86183074265976
جدید,121,170,260,15.026246719160108
متر,2,4,8,27.777777777777775
داریم,61,115,224,24.504504504504503
باشند,53,45,90,15.708812260536401
کنار,127,231,395,20.96069868995633
مورد,439,737,1017,15.758229897463572
می‌باشد,1,4,4,25.0
اغلب,26,30,58,18.51851851851852
سراسر,20,18,50,23.754789272030653
علاوه,44,71,142,23.18244170096022
دسته,54,65,164,28.435374149659864
سی,55,64,81,8.007448789571692
جایی,132,192,262,12.414649286157664
نظر,996,1286,1548,8.51020820699414
هایی,326,554,1130,25.513033832501385
بسیاری,69,103,200,23.824451410658305
بهتر,358,648,657,12.732382187635109
او,231,460,1109,53.63540569020021
دوم,112,259,345,19.076305220883533
فوق,147,320,2248,51.69361046959199
لحاظ,77,140,106,11.265969802555167
می‌گوید,19,14,15,10.344827586206897
جای,312,385,568,13.053820993160867
کردن,449,540,803,12.656410256410256
برابر,52,56,142,25.287356321839084
تنها,245,297,531,18.24561403508772
یافت,11,18,29,17.261904761904763
دارند,101,141,273,21.333333333333336
نشست,3,13,45,41.111111111111114
گذاری,41,83,95,15.53398058252427
نوع,116,209,255,14.347557204700065
می‌رود,3,10,12,26.66666666666667
شدند,25,42,84,26.302083333333332
بودن,304,526,776,17.10495143330964
چگونه,47,63,114,20.593368237347292
آیا,123,119,188,12.653446647780923
اجرا,17,43,98,31.050228310502288
داشتن,68,103,218,24.469067405355496
یابد,5,11,21,24.76190476190476
چهارم,13,34,68,26.969696969696965
امر,23,24,53,21.61172161172161
سالهای,3,28,44,29.72972972972973
می‌شوند,3,2,11,37.777777777777786
وجود,320,579,725,15.87757054041129
طی,19,56,95,23.80952380952381
کل,385,872,598,14.266966629171351
نیز,129,172,376,28.047263681592042
داده_است,0,0,0,0.0
مهم,110,196,338,21.561771561771565
سپس,21,23,71,31.71521035598705
آنان,30,27,78,34.02061855670103
بیش,139,176,199,6.708160442600279
شدن,239,425,608,16.726943942133815
حداقل,158,164,207,6.013071895424835
کرده_است,0,0,0,0.0
سعی,126,185,217,10.040160642570282
بدون,304,341,496,11.208010335917315
هیچ,690,529,880,10.046425255338907
دچار,44,118,113,17.91979949874687
وارد,100,165,223,13.864306784660766
پشت,87,113,178,14.772727272727273
تعیین,11,14,33,24.404761904761905
موجب,29,28,34,4.641350210970466
خود,657,925,1542,22.02669013051767
پخش,32,31,54,14.018691588785046
وی,37,35,105,35.65891472868217
دهد,45,62,129,23.520249221183796
می‌تواند,11,16,19,12.03703703703704
علیه,36,37,186,47.23538704581359
قبل,181,255,430,17.60066417600664
جدی,43,54,81,13.13131313131313
تا,1571,2019,3529,20.206257647264465
است,1398,1844,3802,34.10743607787943
همیشه,113,291,686,31.603003591250413
و,16021,24061,42712,52.79077890324834
خصوص,42,89,157,22.26277372262774
افزود,1,2,2,13.333333333333336
گروهی,10,16,21,13.17829457364341
بنابراین,18,31,53,20.43010752688172
گفته,193,286,335,10.557053009883196
نزدیک,52,105,204,24.39261418853256
متفاوت,88,235,331,21.95945945945946
مشخص,87,124,94,7.674684994272621
از,7898,11779,21154,35.650598613736605
باز,289,396,642,16.501377410468322
برخی,121,180,201,10.800310800310802
ساله,66,109,180,19.57671957671958
بیرون,52,66,161,27.309236947791167
درون,38,121,146,23.32112332112332
فکر,506,732,1107,15.603517186251
سوم,86,134,143,10.44776119402985
گرفته_است,0,0,0,0.0
چنین,198,190,379,19.180922757905652
باره,28,38,102,29.677419354838708
داشت,495,1073,1059,15.814984074227944
دهند,10,13,34,27.77777777777778
داشته_باشد,0,0,0,0.0
شخصی,104,133,180,10.817941952506596
همچنین,46,113,249,29.50391644908616
آمده_است,0,0,0,0.0
خاطرنشان,0,1,0,66.66666666666667
سال‌های,3,6,7,15.555555555555554
آورد,22,33,65,21.929824561403507
میان,79,110,226,24.625468164794004
داشتند,28,36,89,26.20689655172414
همچون,21,22,71,31.132075471698112
خواهد_کرد,0,0,0,0.0
شده,1236,1673,2525,16.21601151253503
کامل,222,300,535,18.432559704002692
یکدیگر,6,19,42,32.240437158469945
نخستین,10,13,30,27.4074074074074
رسید,28,41,76,20.493827160493826
تحت,63,95,176,20.59447983014862
سایر,44,66,112,18.009478672985782
چرا,913,674,855,6.404391582799635
مناسب,137,191,196,7.5333333333333306
کنندگان,2,6,11,24.56140350877193
افراد,109,242,366,20.70063694267516
دار,84,120,180,14.3646408839779
نوعی,46,105,88,15.443425076452602
عین,74,163,286,22.333333333333332
می‌شد,15,30,26,13.541666666666668
بندی,92,152,120,9.099901088031654
طرف,113,141,202,12.376237623762377
می‌کنند,15,26,30,15.204678362573102
شده_اند,0,0,0,0.0
همین,513,702,1082,15.506535947712422
ندارد,110,77,112,8.45771144278607
دیگر,245,362,626,20.593869731800766
دادند,19,12,44,32.20338983050847
نه,919,779,947,5.369595536959552
فرد,55,102,178,23.193473193473192
حتی,481,535,901,15.669856459330145
عهده,12,18,42,25.71428571428571
شامل,37,54,73,11.752136752136753
افرادی,54,98,135,15.54726368159204
در,5598,8915,13894,32.608695652173914
سازی,90,121,172,12.314814814814813
کدام,42,55,107,22.15909090909091
حد,216,289,207,7.6317085179714415
را,2525,3482,7203,47.2677134335078
طول,66,116,184,18.181818181818183
دوباره,119,171,366,24.2723778143877
زیاد,422,567,470,5.870936438622029
که,9170,13282,23051,36.974500883323174
کلی,171,295,380,13.97984886649874
داشته_است,0,0,0,0.0
می‌کرد,9,22,12,19.65811965811966
سهم,4,3,20,42.30769230769231
می‌توانند,4,4,9,20.833333333333332
آمده,35,65,114,21.227197346600335
بعضی,345,817,716,17.249846531614487
می‌دهند,3,4,11,27.77777777777778
با,3862,5629,9613,26.226460842156307
کسانی,107,159,383,28.24858757062147
می,2377,3445,6611,39.599721731685136
طبق,43,39,71,13.793103448275861
من,2883,3541,7053,23.820155038759694
کننده,442,524,504,3.4261241970021414
نبود,942,861,373,17.322189446083254
شاید,421,691,784,12.695547533092661
این,6833,8837,17815,33.6060881570529
متاسفانه,315,263,205,7.4866310160427805
اینجا,150,173,321,17.54675467546755
زیادی,257,497,543,14.466446644664465
نخست,6,10,23,27.027027027027028
شمار,9,10,17,14.285714285714285
کنید,382,402,1038,26.29222629222629
هستیم,26,41,117,30.755064456721914
چه,891,900,1738,20.342870940480502
